po_number,supplier_name,invoice_date,due_date,amount,currency_code,amount_usd,status,payment_date
PO-EXT-0001,"AfroPipe Industries",2024-02-10,2024-03-12,8500000,NGN,5400,Paid,2024-03-10
PO-EXT-0002,"Rhine Chemical GmbH",2024-02-01,2024-04-01,45000,EUR,48900,Paid,2024-03-25
PO-EXT-0003,"Shanghai Heavy Eng",2024-03-20,2024-04-19,320000,CNY,44200,Paid,2024-04-18
PO-EXT-0004,"Lagos Steel Works",2024-03-01,2024-04-15,12000000,NGN,7600,Paid,2024-04-10
PO-EXT-0005,"Mumbai Valve Corp",2024-04-01,2024-05-16,28500,USD,28500,Paid,2024-05-14
PO-EXT-0006,"Houston Pipe Supply",2024-04-01,2024-04-30,62000,USD,62000,Paid,2024-04-28
PO-EXT-0007,"Yorkshire Polymers",2024-04-15,2024-06-14,18500,GBP,23400,Paid,2024-06-10
PO-EXT-0008,"Sao Paulo Metals SA",2024-05-01,2024-05-31,95000,BRL,16500,Paid,2024-05-30
PO-EXT-0009,"AfroPipe Industries",2024-05-01,2024-05-31,6200000,NGN,3900,Paid,2024-05-28
PO-EXT-0010,"Rhine Chemical GmbH",2024-05-20,2024-07-19,38000,EUR,41300,Paid,2024-07-15
PO-EXT-0011,"Cape Industrial",2024-06-01,2024-07-16,280000,ZAR,15200,Paid,2024-07-10
PO-EXT-0012,"Istanbul Fasteners",2024-06-05,2024-07-05,450000,TRY,12500,Pending,
