po_number,order_date,supplier_name,currency_code,total_amount,required_date,status,freight_cost_usd,landed_cost_usd,is_maverick
PO-EXT-0001,2024-01-15,"AfroPipe Industries",NGN,8500000,2024-03-01,Delivered,2500,7800,0
PO-EXT-0002,2024-01-20,"Rhine Chemical GmbH",EUR,45000,2024-02-20,Delivered,1800,48500,0
PO-EXT-0003,2024-02-01,"Shanghai Heavy Eng",CNY,320000,2024-04-01,Delivered,5200,52000,0
PO-EXT-0004,2024-02-10,"Lagos Steel Works",NGN,12000000,2024-03-25,Delivered,3100,11200,0
PO-EXT-0005,2024-02-15,"Mumbai Valve Corp",USD,28500,2024-04-15,Delivered,1500,30500,0
PO-EXT-0006,2024-03-01,"Houston Pipe Supply",USD,62000,2024-03-20,Delivered,800,63200,0
PO-EXT-0007,2024-03-10,"Yorkshire Polymers",GBP,18500,2024-04-25,Delivered,2200,25800,0
PO-EXT-0008,2024-03-20,"Sao Paulo Metals SA",BRL,95000,2024-05-15,Delivered,3500,20500,0
PO-EXT-0009,2024-04-05,"AfroPipe Industries",NGN,6200000,2024-05-20,Delivered,2100,5800,0
PO-EXT-0010,2024-04-12,"Rhine Chemical GmbH",EUR,38000,2024-05-15,Delivered,1600,43200,0
PO-EXT-0011,2024-04-20,"Cape Industrial",ZAR,280000,2024-06-10,Delivered,2800,18500,0
PO-EXT-0012,2024-05-01,"Istanbul Fasteners",TRY,450000,2024-06-15,Delivered,1900,14200,0
